pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18
0.0007194679282633842,1.3883359557098629e-05,2.6294535615534187e-06,0.0001304626500342465,0.00459174450043065,0.00011855651777814558,9.582596627549789e-05,7.472836735189503e-06,4.5833991490842885e-06,1.221817566943173e-05,0.00021358151383310542,1.3196954620042778e-05,0.5827220370993018,0.27752444680663757,0.111895540580349,0.000296667032458231,0.0001058762694032267,6.597413234743499e-05,0.021465815571673375
0.008737621799525641,0.027360254950508534,8.77497065016053e-06,0.941664457321167,3.4807628405964506e-06,0.0040356680993625105,0.014335277547615988,0.0011535259055266665,4.38095479413092e-06,0.0015666002136409674,0.00012071195078180996,0.0008735722338308882,9.47535679479694e-06,5.861532609752196e-05,3.6044370298610184e-06,3.5079446849352585e-05,1.6131059261180556e-06,2.21550030314638e-05,5.1644024265593e-06
1.9496674269703362e-05,0.1942803852725774,0.0005524577645701356,0.3761430319864303,0.0018390088520163772,0.02736604929668829,0.33708714600652456,0.00020360151847853558,0.011069419815612491,0.010304513518349268,0.002087311827835947,0.031174183381153853,2.936820034094012e-05,0.00031778597769971384,0.00011889741443127377,0.002418613475924758,0.00018203184697540564,0.002104147738236861,0.002702560587295011
0.1803784073308634,0.22418422158807516,3.9915420927627565e-05,0.07025231211446226,1.9926178495666136e-05,0.0015543888957836316,0.4945235410705209,0.0015436639787367312,0.0002364459073227465,0.024993013154016808,0.0005153556600632214,0.0010597752780086012,7.984088919954502e-05,4.113042166764558e-05,8.86833622983918e-05,4.537272013749316e-05,1.8785494564355076e-06,9.031619934063428e-05,0.0003518340130304054
4.52808213853781e-09,1.4403017480383786e-09,2.4363323897196726e-05,5.0422099198504065e-08,1.6063323713712274e-09,2.6204198775268972e-08,3.915412513597241e-10,4.021823248557108e-09,1.3491908802094692e-06,5.088132875340684e-08,3.9414051107464166e-11,5.874489051821072e-05,7.562872101078873e-07,0.31166439632943366,1.8655738075233977e-09,2.798323408292891e-05,0.00015866537542434667,1.767583083864266e-05,0.6880459738895297
0.0002783990290282645,1.3253613902364236e-05,1.4594051586103163e-06,1.1567666916789676e-05,9.317639499208802e-05,6.131393970321142e-07,0.0009609436040136643,3.449308230019099e-05,5.532236255489931e-07,3.504274056709278e-06,5.5302016834346546e-05,0.0002149537003897639,0.8628863394260406,0.11216224338568281,0.004219923612254206,0.00032561695755858877,4.2992580805839564e-07,0.017791890890521245,0.0009453637701710704
5.860616067998592e-07,9.531069171231366e-06,1.3063129473689372e-06,2.4668535458793883e-07,0.00020607035476416513,1.0877498493044868e-06,5.55290530428465e-05,0.0003680292513763561,1.7696500194119835e-06,5.1879180951175385e-06,3.49284269862693e-06,9.014870467893843e-07,0.5628058426082134,0.33930676616728306,0.09585225657792762,1.2201075209716805e-05,0.0009266607821700745,0.0004139692015314722,2.853435805150184e-05
0.2599891281861346,0.02357391855912283,8.151962617830577e-05,0.43888929346576333,2.0438649391607555e-05,0.008348787408976932,0.24983573704957962,0.0009098326831917802,0.00010133099840459181,0.004177608421741752,8.555203817195434e-05,0.0014904260115145007,0.0006106321525294334,0.0002563815696277061,2.142736039445481e-05,0.007685610305316004,1.8292834216282472e-06,0.00010181964944422361,0.003818745479293284
0.0001328109867557714,0.0021400412979346584,0.7300359345972538,0.014109299198025838,1.2702130298691827e-05,0.07706407480873168,0.00015251048279196766,0.13474271923769265,0.013010548413149081,0.00018147672994928143,8.772735995421499e-06,6.404258334669066e-05,1.7247181405166678e-05,2.847573387620983e-05,2.2764725931878615e-05,3.182019655512125e-05,2.39224607412325e-06,0.02817688521463424,6.551076421601465e-05
8.772315129634833e-05,0.0003913503885445424,0.33313254825770855,0.0011121707464667452,3.1828401371582042e-06,0.003240555627115782,3.840649697273157e-06,0.001653119321417762,0.5558314248919487,3.0689820385010336e-06,0.0006262296390673328,5.783350263754983e-05,2.058536127724775e-06,7.608480061094269e-06,1.6904584605015316e-05,8.221314604739405e-05,0.10261814994737506,0.0011285246648640168,1.50623310846143e-06
