fragment_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.0016415442223660648,0.0022345092402247246,0.0018506362139305566,0.0017308491333096754,0.001169450071756728,0.0018578189810796175,0.002246111376734916,0.0016398573425249197,0.0015180160880845506,0.0016889706421352457,0.00145273057569284,0.0012391594318614807,0.7607098715379834,0.209825228783302,0.0005141257224750007,0.0017063927225535735,0.0012037526612402871,0.0008747289957682369,0.004896262656984618
1,4.705156948148215e-05,8.816483750706539e-05,0.00018764506353363686,0.9958907961845398,0.0009040709119290113,0.0001507482093074941,0.000679683820635546,0.00013989121089252876,0.00020754723027494038,9.067459802736266e-05,0.0002224107406618714,0.00024461448128931806,0.0002686435714167601,7.763865733068087e-05,0.0001227771711000969,0.000270032921434904,0.00012978326185475453,0.00017341443572149728,0.00010442515554132115
2,0.00416743887035409,0.13514964352361858,0.004656211182009429,0.21461164465290494,0.003349032354890369,0.005822820996399969,0.5763577427715063,0.0054848991421749815,0.0062281866776174866,0.00797076091839699,0.001035172987030819,0.008620707740192302,0.0031086203598533757,0.003674703009892255,0.0018785150605253875,0.0038839667540742084,0.007008203931036405,0.0011588551205932163,0.005832854978507385
3,0.02054134721402079,0.01307621382875368,0.0007625393700436689,0.0013112710184941534,0.0005640142117044888,0.0012225139798829332,0.9517084658145905,0.0014640139415860176,0.0013235713267931715,0.00017612160490898532,0.00051751842329395,0.0007900919008534402,0.0005707881064154208,0.0005182383756618947,0.0006014918071741704,0.0014457444776780903,0.0008142224578477908,0.0019957645563408732,0.0005960112175671384
4,4.759808189191972e-05,1.2664026257880323e-05,1.938165351589305e-05,9.6921968477659e-06,3.7573734459783736e-05,4.592150162352482e-05,2.767209940657267e-05,2.6308013502784888e-05,1.4152839383996252e-05,2.737319326229226e-05,2.2126162264157756e-05,2.743413125472216e-05,1.3606462105464345e-05,0.0028207501491124276,1.5578510186742278e-05,4.391146336502061e-05,2.2533526838230955e-05,4.695136894383722e-06,0.9967610836029053
5,2.581165217918624e-05,4.0438045687096746e-05,1.8238102569512193e-05,9.26410586998827e-06,1.1529812788069194e-05,1.7232006655376608e-05,1.746855181039564e-05,3.501623962165468e-05,3.113348790861892e-05,2.0236020986885705e-05,1.635998484061929e-05,1.2886311026250041e-05,0.9995497763156891,1.8938294182646587e-05,6.5140015692577435e-06,4.138984844814786e-05,1.347217164493486e-05,9.782434122485029e-05,1.649094116373817e-05
6,2.0184353729746363e-05,2.682061155212523e-05,2.1472537056865804e-05,1.3763145744860594e-05,5.138760400313913e-06,3.66032586498477e-05,1.9712146240635775e-05,3.801014327109442e-05,3.560445634320786e-05,1.3428541933535598e-05,6.491248916518089e-05,1.8195697577993997e-05,9.033801626756599e-06,0.9863304644823074,7.654977309812239e-06,1.1904799720241499e-05,7.926910768674134e-06,0.01329971067389124,1.9459209966044e-05
7,0.09050709786970401,0.0009911191295941535,0.00027606560684034775,0.9030714631080627,0.00022795844495249185,0.00041650527100500767,6.30260279343986e-05,0.0006656762525381055,0.0004026759978614791,0.0003173334805524064,0.0001297855689017524,0.0001972463812762726,0.0003519692521649631,0.00022226448447781877,0.00041795775450736983,0.0009040851891768398,0.00032444038811263454,0.00033374104714312125,0.00017958085618374753
8,0.0004238056708345539,0.00043137121883773943,0.9811659902334213,0.00056380486330454,0.00047071800690901,0.008460533597826725,0.0008976306071417639,0.0025549755882821046,0.00011353823629178805,0.0003979560442530783,0.0003921903071386623,0.0005346477901184699,0.0009043608188221697,0.0005418346045189537,0.00032144564193004044,0.00041300915472675115,0.0006056061893104925,0.000378477443518932,0.00042812742958631134
9,0.0006963431237636541,0.0017123452687428653,0.17752887322239985,0.0008885588677003398,0.0007459705254859728,0.0003327722349126816,0.0018032340999525331,0.005849865850677816,0.7993054389953613,0.001389206051499059,0.0007917142617088757,0.0003190219570115005,0.0019063099539380346,0.0011393288768886123,0.0006785484902138705,0.002810846818420032,0.0009936668238879065,0.00027986669815049936,0.0008281104626348679
